João Pedro,5,87,33,30,76,26
João Pedro,6,33,30,76,26,27
João Pedro,7,30,76,26,27,45
João Pedro,8,76,26,27,45,88
João Pedro,9,26,27,45,88,64
João Pedro,10,27,45,88,64,12
João Pedro,11,45,88,64,12,45
Adam,5,0,9,30,9,63
Adam,6,9,30,9,63,0
Adam,7,30,9,63,0,0
Adam,8,9,63,0,0,0
Adam,9,63,0,0,0,0
Adam,10,0,0,0,0,58
Adam,11,0,0,0,58,45
Tariq,5,0,0,0,13,76
Tariq,6,0,0,13,76,3
Tariq,7,0,13,76,3,45
Tariq,8,13,76,3,45,0
Tariq,9,76,3,45,0,0
Tariq,10,3,45,0,0,0
Tariq,11,45,0,0,0,0
Solly,5,73,90,71,80,0
Solly,6,90,71,80,0,0
Solly,7,71,80,0,0,61
Solly,8,80,0,0,61,90
Solly,9,0,0,61,90,90
Solly,10,0,61,90,90,0
Solly,11,61,90,90,0,0
James,5,78,56,71,9,13
James,6,56,71,9,13,0
James,7,71,9,13,0,0
James,8,9,13,0,0,0
James,9,13,0,0,0,45
James,10,0,0,0,45,0
James,11,0,0,45,0,78
Kaoru,5,90,80,90,90,90
Kaoru,6,80,90,90,90,45
Kaoru,7,90,90,90,45,90
Kaoru,8,90,90,45,90,90
Kaoru,9,90,45,90,90,90
Kaoru,10,45,90,90,90,90
Kaoru,11,90,90,90,90,90
Jason,5,90,90,0,0,90
Jason,6,90,0,0,90,0
Jason,7,0,0,90,0,90
Jason,8,0,90,0,90,0
Jason,9,90,0,90,0,90
Jason,10,0,90,0,90,90
Jason,11,90,0,90,90,0
Jan Paul,5,90,0,0,90,90
Jan Paul,6,0,0,90,90,0
Jan Paul,7,0,90,90,0,0
Jan Paul,8,90,90,0,0,27
Jan Paul,9,90,0,0,27,1
Jan Paul,10,0,0,27,1,0
Jan Paul,11,0,27,1,0,90
Joël,5,11,33,18,90,90
Joël,6,33,18,90,90,90
Joël,7,18,90,90,90,90
Joël,8,90,90,90,90,90
Joël,9,90,90,90,90,45
Joël,10,90,90,90,45,19
Joël,11,90,90,45,19,90
Bart,5,0,0,90,90,0
Bart,6,0,90,90,0,90
Bart,7,90,90,0,90,0
Bart,8,90,0,90,0,90
Bart,9,0,90,0,90,0
Bart,10,90,0,90,0,0
Bart,11,0,90,0,0,90
Adam,5,0,90,90,0,0
Adam,6,90,90,0,0,90
Adam,7,90,0,0,90,90
Adam,8,0,0,90,90,0
Adam,9,0,90,90,0,0
Adam,10,90,90,0,0,90
Adam,11,90,0,0,90,0
Danny,5,77,56,59,0,63
Danny,6,56,59,0,63,62
Danny,7,59,0,63,62,45
Danny,8,0,63,62,45,30
Danny,9,63,62,45,30,15
