Declan,11,90,89.33333333333333,90,90
Reiss,4,0,0,0,1
Reiss,5,0,0.3333333333333333,0,0
Reiss,6,0,0.3333333333333333,0,13
Reiss,7,1,4.666666666666667,1,21
Reiss,8,0,11.333333333333334,13,0
Reiss,9,13,11.333333333333334,13,0
Reiss,10,21,7,0,17
Reiss,11,0,5.666666666666667,0,0
Jurriën,2,49,49,49,0
Jurriën,3,49,24.5,24.5,0
Jurriën,4,49,16.333333333333332,0,0
Leon,2,45,45,45,62
Leon,3,45,53.5,53.5,0
Leon,4,45,35.666666666666664,45,46
Leon,5,62,36,46,33
Leon,6,0,26.333333333333332,33,15
Leon,7,46,31.333333333333332,33,0
Leon,8,33,16,15,8
Leon,9,15,7.666666666666667,8,14
Leon,10,0,7.333333333333333,8,45
Leon,11,8,22.333333333333332,14,45
Matty,2,86,86,86,90
Matty,3,86,88,88,90
Matty,4,86,88.66666666666667,90,90
Matty,5,90,90,90,90
Matty,6,90,90,90,90
Matty,7,90,90,90,90
Matty,8,90,90,90,81
Matty,9,90,87,90,90
Matty,10,90,87,90,78
Matty,11,81,83,81,58
Philippe,2,3,3,3,21
Philippe,3,3,12,12,0
Philippe,4,3,8,3,0
Philippe,5,21,7,0,0
Leander,5,0,0,0,1
Leander,6,0,0.3333333333333333,0,1
Leander,7,0,0.6666666666666666,1,0
Leander,8,1,0.6666666666666666,1,0
Leander,9,1,0.3333333333333333,0,0
Leander,10,0,0,0,1
Leander,11,0,0.3333333333333333,0,4
Diego Carlos,2,26,26,26,26
Diego Carlos,3,26,26,26,90
Diego Carlos,4,26,47.333333333333336,26,18
Diego Carlos,5,26,44.666666666666664,26,0
Diego Carlos,6,90,36,18,0
Diego Carlos,7,18,6,0,0
Diego Carlos,8,0,0,0,90
Diego Carlos,9,0,30,0,0
Diego Carlos,10,0,30,0,11
Diego Carlos,11,90,33.666666666666664,11,12
Lucas,2,90,90,90,90
Lucas,3,90,90,90,80
Lucas,4,90,86.66666666666667,90,90
Lucas,5,90,86.66666666666667,90,90
Lucas,6,80,86.66666666666667,90,90
Lucas,7,90,90,90,90
Lucas,8,90,90,90,90
Lucas,9,90,90,90,90
Lucas,10,90,90,90,90
Lucas,11,90,90,90,90
Douglas Luiz,2,90,90,90,63
Douglas Luiz,3,90,76.5,76.5,85
Douglas Luiz,4,90,79.33333333333333,85,71
Douglas Luiz,5,63,73,71,90
Douglas Luiz,6,85,82,85,90
Douglas Luiz,7,71,83.66666666666667,90,90
Douglas Luiz,8,90,90,90,90
Douglas Luiz,9,90,90,90,90
Douglas Luiz,10,90,90,90,89
Douglas Luiz,11,90,89.66666666666667,90,85
Jhon,2,0,0,0,16
Jhon,3,0,8,8,4
Jhon,4,0,6.666666666666667,4,17
Jhon,5,16,12.333333333333334,16,19
Jhon,6,4,13.333333333333334,17,1
Jhon,7,17,12.333333333333334,17,11
Jhon,8,19,10.333333333333334,11,0
Jhon,9,1,4,1,0
Jhon,10,11,3.6666666666666665,0,0
Boubacar,2,90,90,90,90
Boubacar,3,90,90,90,90
Boubacar,4,90,90,90,90
Boubacar,5,90,90,90,57
Boubacar,6,90,79,90,89
Boubacar,7,90,78.66666666666667,89,89
Boubacar,8,57,78.33333333333333,89,81
Boubacar,9,89,86.33333333333333,89,90
Boubacar,10,89,86.66666666666667,89,78
Boubacar,11,81,83,81,77
Ezri,2,90,90,90,90
Ezri,3,90,90,90,90
Ezri,4,90,90,90,90
Ezri,5,90,90,90,90
